herramienta
sas
apache spark
bigml
d3.js
matlab
excel
ggplot2
tableau
jupyter
matplotlib
nltk
scikit-learn
tensorflow
weka
microsoft excel
python
r
jupyter notebook
apache spark
sas
microsoft power bi
tableau
knime
python
sql
postgresql
mongodb
apachespark
apache kafka
amazon redshift
snowflake
amazon athena
apache airflow
big query
tableau
looker
apache hive
segment
dbt
redash
fivetran
power bi
periscope
prefect
presto
metabase
